58931,Elite
59689,Elite
54529,Elite
50005,Elite
57339,Supp
53237,Elite
54133,Elite
50640,Elite
58226,Elite
50016,Elite
55919,Elite
58682,Elite
50336,Elite
52560,Supp
56404,Elite
52505,Elite
59545,Elite
58387,Elite
56964,Supp
56715,Elite
51247,Elite
57003,Elite
58985,Elite
55403,Elite
58248,Elite
56898,Elite
55551,Supp
51014,Elite
58251,Elite
57833,Elite
53549,Supp
50502,Elite
59146,Elite
52964,Elite
57016,Elite
54828,Elite
52524,Elite
57145,Elite
52853,Elite
58910,Supp
50606,Elite
58811,Elite
58858,Elite
52923,Elite
54433,Supp
57832,Elite
56928,Elite
52216,Supp
54712,Supp
50242,Supp
57716,Elite
56541,Supp
54588,Supp
54242,Elite
53585,Supp
52912,Elite
54525,Supp
58796,Credit
59618,Elite
57271,Supp
58050,Elite
58038,Supp
51402,Supp
50818,Supp
51796,Elite
50486,Supp
53882,Elite
59633,Supp
51824,Elite
51841,Supp
56284,Elite
51754,Elite
56622,Supp
56500,Elite
59686,Credit
54561,Supp
53165,Elite
52583,Credit
50127,Supp
55450,Supp
51830,Elite
51640,Supp
59342,Elite
57846,Supp
58383,Elite
53792,Elite
57489,Supp
53534,Elite
58150,Supp
57990,Elite
51800,Elite
54915,Supp
55535,Supp
55761,Credit
51382,Elite
51788,Supp
57328,Elite
50721,Elite
53005,Supp
53617,Supp
58758,Supp
52189,Supp
55056,Elite
58318,Supp
52653,Supp
59485,Elite
51828,Elite
50666,Elite
59536,Elite
59746,Supp
54663,Elite
58198,Supp
52275,Supp
54633,Elite
56849,Supp
58812,Elite
51301,Elite
55277,Supp
58211,Elite
57928,Credit
53054,Credit
59363,Elite
51178,Elite
59870,Supp
59135,Supp
53797,Supp
57762,Elite
51277,Supp
51982,Credit
51671,Supp
58847,Elite
56881,Supp
51538,Supp
55676,Supp
51710,Credit
54700,Supp
55738,Credit
53705,Credit
56319,Elite
53402,Supp
51103,Elite
56405,Elite
52548,Supp
53810,Elite
59554,Supp
53626,Elite
56907,Credit
53137,Elite
50305,Elite
53983,Supp
59277,Supp
50755,Supp
53867,Supp
54062,Supp
54185,Elite
57565,Elite
51137,Supp
55427,Elite
51931,Supp
55077,Elite
52404,Supp
58947,Supp
53979,Elite
56081,Supp
59821,Credit
58868,Elite
57345,Supp
55604,Supp
58205,Elite
54747,Elite
51220,Elite
51384,Elite
55536,Supp
58983,Elite
51397,Credit
53228,Credit
52134,Supp
54141,Supp
57652,Credit
54777,Supp
57673,Supp
53450,Supp
54689,Supp
55486,Supp
55319,Supp
58577,Elite
59260,Supp
51696,Supp
53670,Supp
50644,Supp
52996,Credit
55233,Elite
58283,Elite
56922,Supp
52014,Supp
57002,Elite
59395,Elite
56369,Elite
53508,Credit
59630,Elite
54914,Credit
56498,Elite
57522,Elite
53997,Elite
55757,Elite
59544,Supp
51018,Elite
53371,Supp
52098,Credit
55862,Elite
53420,Elite
55629,Supp
